text,label,src
Пальто красивое, но пришло с дырой в молнии,0,rureviews
Ужасное качество, деньги на ветер,0,ozon
Товар не соответствует описанию, разочарован,0,wildberries
Курьер нахамил, больше не закажу,0,ozon
Сломалось через неделю использования,0,wildberries
Вернул товар, полный брак,0,rureviews
Размер не подошел, качество плохое,0,ozon
Упаковка была порвана, товар поврежден,0,wildberries
Ждал месяц, пришло не то,0,rureviews
Отвратительный сервис, не рекомендую,0,ozon
Доставка быстрая, меньше месяца,1,rureviews
Товар как на картинке, ничего особенного,1,ozon
Нормально, за свои деньги сойдет,1,wildberries
Обычный товар, без претензий,1,rureviews
Доставили вовремя, упаковка стандартная,1,ozon
Средне, ожидал лучшего,1,wildberries
Пришло быстро, качество среднее,1,rureviews
Ничего особенного, но и не плохо,1,ozon
Соответствует цене, не больше,1,wildberries
Заказ выполнен, всё по описанию,1,rureviews
Все отлично, качество супер!,2,rureviews
Превосходный товар, рекомендую всем!,2,ozon
Быстрая доставка, отличное качество,2,wildberries
Лучшая покупка за последнее время,2,rureviews
Очень доволен, буду заказывать еще,2,ozon
Качество превзошло ожидания,2,wildberries
Идеальный товар, спасибо продавцу,2,rureviews
Все супер, доставка за 2 дня,2,ozon
Рекомендую, отличное соотношение цена-качество,2,wildberries
Прекрасная вещь, очень рад покупке,2,rureviews
